ID,Tm
"AY423387.1 HIV-1 isolate 671-00T36 from Netherlands, complete genome",81.84322042953308
"AY423388.1 Hydra viridis non-muscle actin mRNA, partial cds",79.69153846153847
"AB253429.1 Human immunodeficiency virus 1 proviral DNA, complete genome, clone: p92UG037A40",82.10222910216719
"AF004456.1 Venezuelan equine encephalitis virus strain 33571 polyprotein gene, partial cds",85.95703794369646
"K03455.1 Human immunodeficiency virus type 1 (HXB2), complete genome; HIV1/HTLV-III/LAV reference genome",82.31666838152074
